Timestamp(s),Radar_State,Mic_Trigger,Fused_System_State
127.02,1,0,1
127.22,1,0,1
127.42,1,0,1
127.62,1,0,1
127.83,1,0,1
128.02,1,0,1
128.21,1,0,1
128.42,1,0,1
128.62,1,0,1
128.82,1,0,1
129.02,1,0,1
129.22,1,0,1
129.42,1,0,1
129.62,1,0,1
129.82,1,0,1
130.02,1,0,1
130.22,1,0,1
130.41,1,0,1
130.62,1,0,1
130.81,1,1,1
131.02,1,0,1
131.22,1,0,1
131.42,1,0,1
131.62,1,0,1
131.82,1,0,1
132.02,1,0,1
132.22,1,0,1
132.42,1,0,1
132.62,1,0,1
132.82,1,0,1
133.02,1,1,1
133.22,1,1,1
133.42,1,0,1
133.62,1,0,1
133.82,1,0,1
134.02,1,0,1
134.22,1,0,1
134.42,1,0,1
134.62,1,0,1
134.82,1,0,1
135.02,1,0,1
135.22,1,0,1
135.42,1,0,1
135.62,1,0,1
135.82,1,0,1
136.02,1,0,1
136.22,1,0,1
136.42,1,0,1
136.62,1,0,1
136.82,1,0,1
137.02,1,0,1
137.22,1,0,1
137.42,1,0,1
137.62,1,0,1
137.82,1,0,1
138.02,1,0,1
138.22,1,0,1
138.42,1,0,1
138.62,1,1,1
138.81,1,1,1
139.02,1,0,1
139.21,1,0,1
139.42,1,1,1
139.62,1,0,1
139.82,1,0,1
140.02,1,0,1
140.22,1,0,1
140.42,1,0,1
140.62,1,0,1
140.81,1,0,1
141.02,1,0,1
141.21,1,0,1
141.42,1,0,1
141.62,1,0,1
141.82,1,0,1
142.02,1,0,1
142.22,1,1,1
142.42,1,0,1
142.62,1,1,1
142.82,1,0,1
143.02,1,0,1
143.22,1,0,1
143.42,1,0,1
143.62,1,0,1
143.82,1,0,1
144.02,1,0,1
144.22,1,0,1
144.42,1,0,1
144.61,1,0,1
144.82,1,0,1
145.02,1,0,1
145.22,1,0,1
145.42,1,0,1
145.62,1,0,1
145.82,1,0,1
146.02,1,0,1
146.22,1,0,1
146.42,1,0,1
146.62,1,0,1
146.82,1,0,1
147.02,1,0,1
147.22,1,1,1
147.42,1,0,1
147.62,1,0,1
147.82,1,1,1
148.02,1,1,1
148.22,1,1,1
148.42,1,0,1
148.62,1,0,1
148.82,1,0,1
149.02,1,0,1
149.22,1,0,1
149.42,1,0,1
149.62,1,0,1
149.82,1,0,1
150.02,1,0,1
150.22,1,0,1
150.42,1,0,1
150.62,1,0,1
150.82,1,0,1
151.02,1,0,1
151.22,1,0,1
151.42,1,0,1
151.62,1,0,1
151.81,1,0,1
152.02,1,0,1
152.22,1,0,1
152.42,1,0,1
152.62,1,0,1
152.82,1,0,1
153.03,1,0,1
153.22,1,0,1
153.42,1,0,1
153.62,1,0,1
153.82,1,0,1
154.01,1,0,1
154.21,1,0,1
154.41,1,0,1
154.61,1,0,1
154.82,1,0,1
155.02,1,0,1
155.22,1,0,1
155.41,1,0,1
155.61,1,0,1
155.82,1,0,1
156.02,1,0,1
156.22,1,0,1
156.42,1,0,1
156.62,1,0,1
156.82,1,0,1
157.02,1,0,1
157.22,1,1,1
157.42,1,0,1
157.61,1,1,1
157.82,1,0,1
158.02,1,0,1
158.22,1,0,1
158.42,1,0,1
158.62,1,0,1
158.82,1,0,1
159.01,1,0,1
159.21,1,0,1
159.42,1,0,1
159.62,1,0,1
159.82,1,1,1
160.02,1,0,1
160.22,1,1,1
160.42,1,0,1
160.62,1,0,1
160.82,1,0,1
161.02,1,0,1
161.22,1,0,1
161.42,1,0,1
161.62,1,0,1
161.82,1,0,1
162.01,1,0,1
162.22,1,0,1
162.42,1,0,1
162.62,1,0,1
162.81,1,0,1
163.01,1,0,1
163.22,1,0,1
163.42,1,1,1
163.62,1,0,1
163.82,1,0,1
164.02,1,0,1
164.21,1,0,1
164.42,1,0,1
164.62,1,1,1
164.82,1,0,1
165.02,1,1,1
165.22,1,0,1
165.41,1,0,1
165.62,1,0,1
165.81,1,0,1
166.01,1,0,1
166.21,1,0,1
166.41,1,0,1
166.61,1,0,1
166.81,1,0,1
167.02,1,0,1
167.22,1,0,1
167.42,1,0,1
167.61,1,0,1
167.81,1,0,1
168.02,1,0,1
168.22,1,0,1
168.42,1,0,1
168.62,1,0,1
168.82,1,0,1
169.02,1,0,1
169.22,1,0,1
169.42,1,0,1
169.62,1,0,1
169.82,1,0,1
170.02,1,0,1
170.21,1,0,1
170.41,1,0,1
170.61,1,0,1
170.82,1,0,1
171.01,1,0,1
171.22,1,0,1
171.42,1,0,1
171.62,1,0,1
171.81,1,0,1
172.02,1,0,1
172.22,1,1,1
172.42,1,0,1
172.62,1,1,1
172.81,1,0,1
173.02,1,0,1
173.22,1,1,1
173.42,1,1,1
173.61,1,1,1
173.81,1,0,1
174.02,1,0,1
174.22,1,0,1
174.42,1,0,1
174.62,1,0,1
174.82,1,0,1
175.02,1,1,1
175.22,1,1,1
175.42,1,1,1
175.61,1,1,1
175.82,1,1,1
176.02,1,0,1
176.22,1,1,1
176.41,1,0,1
176.61,1,0,1
176.82,1,0,1
177.02,1,0,1
177.22,1,1,1
177.42,1,0,1
177.62,1,1,1
177.82,1,0,1
178.02,1,0,1
178.21,1,0,1
178.42,1,0,1
178.62,1,0,1
178.82,1,1,1
179.02,1,0,1
179.22,1,0,1
179.42,1,0,1
179.62,1,0,1
179.82,1,0,1
180.02,1,0,1
180.22,1,0,1
180.42,1,0,1
180.62,1,0,1
180.81,1,0,1
181.01,1,0,1
181.21,1,0,1
181.42,1,0,1
181.62,1,0,1
181.82,1,0,1
182.02,1,0,1
182.22,1,0,1
182.42,1,0,1
182.62,1,0,1
182.81,1,0,1
183.01,1,1,1
183.21,1,0,1
183.41,1,0,1
183.61,1,0,1
183.82,1,0,1
184.02,1,0,1
184.22,1,0,1
184.42,1,0,1
184.62,1,0,1
184.82,1,0,1
185.02,1,0,1
185.22,1,0,1
185.42,1,1,1
185.61,1,1,1
185.81,1,1,1
186.02,1,1,1
186.22,1,1,1
186.42,1,0,1
186.62,1,1,1
186.81,1,1,1
187.02,1,1,1
187.22,1,0,1
187.42,1,0,1
187.62,1,0,1
187.82,1,0,1
188.02,1,0,1
188.22,1,0,1
188.42,1,1,1
188.61,1,0,1
188.81,1,0,1
189.02,1,0,1
189.22,1,1,1
189.41,1,1,1
189.61,1,1,1
189.82,1,1,1
190.02,1,1,1
190.21,1,1,1
190.42,1,0,1
190.62,1,0,1
190.82,1,0,1
191.02,1,0,1
191.22,1,0,1
191.42,1,0,1
191.62,1,0,1
191.82,1,0,1
192.02,1,1,1
192.22,1,0,1
192.42,1,1,1
192.62,1,0,1
192.82,1,0,1
193.02,1,0,1
193.22,1,0,1
193.41,1,0,1
193.62,1,0,1
193.81,1,0,1
194.02,1,0,1
194.22,1,0,1
194.42,1,0,1
194.62,1,0,1
194.81,1,0,1
195.01,1,0,1
195.22,1,0,1
195.42,1,0,1
195.62,1,0,1
195.82,1,0,1
196.02,1,1,1
196.22,1,1,1
196.42,1,1,1
196.62,1,1,1
196.81,1,1,1
197.01,1,1,1
197.22,1,1,1
197.42,1,1,1
197.62,1,1,1
197.82,1,0,1
198.02,1,0,1
